Get Support,I have a question
Get Support,I need support
Get Support,I need help
Get Support,I want to get support
Get Support,Where can I find help
Get Support,Help me out
Get Support,I'm looking for assistance
Get Support,I need assistance
Get Support,How can I get help
Get Support,How do I find support
Get Support,Can someone give me help
Get Support,How can I get assistance
Get Support,I'm looking for help
Talk to Sales,Can I talk to Sales?
Talk to Sales,I'd like to talk to Sales.
Talk to Sales,Who do I talk to for Sales?
Talk to Sales,Where can I talk to Sales?
Talk to Sales,I want to talk to Sales.
Talk to Sales,I need to talk to Sales.
Talk to Sales,I'm looking to speak to Sales
Talk to Sales,How can I talk to Sales?
Talk to Sales,Can I get in contact with Sales?
Talk to Sales,I'd like to get in touch with Sales.
Submit Ticket,human
Submit Ticket,agent
Submit Ticket,talk to an agent
Submit Ticket,talk to a human
Submit Ticket,send ticket
Submit Ticket,Submit a ticket
Submit Ticket,submit my ticket
Submit Ticket,open a ticket
Submit Ticket,create a ticket
Submit Ticket,file a ticket
Submit Ticket,request help
Yes,sure
Yes,certainly
Yes,affirmative
Yes,okay
Yes,ok
Yes,ya
Yes,yep
Yes,yup
Yes,yea
Yes,yes
No,negative
No,nevermind
No,not
No,no thanks
No,no way
No,not now
No,nah
No,nay
No,nope
No,no
None,